"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","42","should read all sheets at once","Excel File Validation Tests","Sun Nov 30 23:31:44 UTC 2025","passed","Sun Nov 30 23:31:44 UTC 2025","","","",""
"","1396","@smoke should handle iFrames","Automation Practice Test Suite","Sun Nov 30 23:32:41 UTC 2025","passed","Sun Nov 30 23:32:42 UTC 2025","","","",""
"","33","@smoke should validate Excel file exists and is readable","Excel File Validation Tests","Sun Nov 30 23:31:44 UTC 2025","passed","Sun Nov 30 23:31:44 UTC 2025","","","",""
"","1","should handle database transactions - insert, update, delete","User Login with Database Validation","Sun Nov 30 23:31:36 UTC 2025","skipped","Sun Nov 30 23:31:36 UTC 2025","","","",""
"","771","Simulate API timeout (404)","API Validation","Sun Nov 30 23:31:51 UTC 2025","passed","Sun Nov 30 23:31:52 UTC 2025","","","",""
"","1277","should handle web tables","Automation Practice Test Suite","Sun Nov 30 23:32:30 UTC 2025","passed","Sun Nov 30 23:32:32 UTC 2025","","","",""
"","1705","@smoke My Sixth Test Case","My First Test Suite","Sun Nov 30 23:32:04 UTC 2025","passed","Sun Nov 30 23:32:06 UTC 2025","","","",""
"","13","should successfully login and complete e-commerce flow","Login API Tests","Sun Nov 30 23:32:49 UTC 2025","skipped","Sun Nov 30 23:32:49 UTC 2025","","","",""
"","1","should update employee salary","Employees Database Tests - Azure SQL","Sun Nov 30 23:31:41 UTC 2025","skipped","Sun Nov 30 23:31:41 UTC 2025","","","",""
"","76","should read and validate Products sheet data","Excel File Validation Tests","Sun Nov 30 23:31:44 UTC 2025","passed","Sun Nov 30 23:31:44 UTC 2025","","","",""
"","5366","Verify multiple product selection","Ecommerce Product Selection Validation","Sun Nov 30 23:33:43 UTC 2025","passed","Sun Nov 30 23:33:49 UTC 2025","","","",""
"","1","should validate database statistics","User Login with Database Validation","Sun Nov 30 23:31:36 UTC 2025","skipped","Sun Nov 30 23:31:36 UTC 2025","","","",""
"","8","should list available tables","Database Connection Test","Sun Nov 30 23:31:38 UTC 2025","skipped","Sun Nov 30 23:31:38 UTC 2025","","","",""
"","4","should validate user login credentials against database","User Login with Database Validation","Sun Nov 30 23:31:36 UTC 2025","skipped","Sun Nov 30 23:31:36 UTC 2025","","","",""
