"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11529","Ecommerce product delivery","End to End Ecommerce Application Validation","Sat Nov 29 00:23:15 UTC 2025","passed","Sat Nov 29 00:23:27 UTC 2025","","","",""
"","1876","should select country from dynamic dropdown","Automation Practice Test Suite","Sat Nov 29 00:22:14 UTC 2025","passed","Sat Nov 29 00:22:16 UTC 2025","","","",""
"","724","My Third Test Case","My First Test Suite","Sat Nov 29 00:22:01 UTC 2025","passed","Sat Nov 29 00:22:02 UTC 2025","","","",""
"","11431","should handle Switch Window","Automation Practice Test Suite","Sat Nov 29 00:22:37 UTC 2025","passed","Sat Nov 29 00:22:48 UTC 2025","","","",""
"","11507","Validate e-commerce page e2e flow","Automation Practice Test Suite","Sat Nov 29 00:22:58 UTC 2025","passed","Sat Nov 29 00:23:09 UTC 2025","","","",""
"","1388","should handle web tables","Automation Practice Test Suite","Sat Nov 29 00:22:34 UTC 2025","passed","Sat Nov 29 00:22:35 UTC 2025","","","",""
"","5665","Verify multiple product selection","Ecommerce Product Selection Validation","Sat Nov 29 00:23:48 UTC 2025","passed","Sat Nov 29 00:23:54 UTC 2025","","","",""
"","3639","@smoke should handle date picker","Automation Practice Test Suite","Sat Nov 29 00:22:50 UTC 2025","passed","Sat Nov 29 00:22:53 UTC 2025","","","",""
"","349","My Fifth Test Case","My First Test Suite","Sat Nov 29 00:22:02 UTC 2025","passed","Sat Nov 29 00:22:03 UTC 2025","","","",""
"","1500","should select option from static dropdown","Automation Practice Test Suite","Sat Nov 29 00:22:13 UTC 2025","passed","Sat Nov 29 00:22:14 UTC 2025","","","",""
"","12829","should handle switch tab or child windows","Automation Practice Test Suite","Sat Nov 29 00:22:21 UTC 2025","passed","Sat Nov 29 00:22:34 UTC 2025","","","",""
"","3703","should check and uncheck checkboxes","Automation Practice Test Suite","Sat Nov 29 00:22:09 UTC 2025","passed","Sat Nov 29 00:22:13 UTC 2025","","","",""
"","1752","should handle alert and confirm dialogs","Automation Practice Test Suite","Sat Nov 29 00:22:19 UTC 2025","passed","Sat Nov 29 00:22:21 UTC 2025","","","",""
"","1443","should show and hide textbox","Automation Practice Test Suite","Sat Nov 29 00:22:16 UTC 2025","passed","Sat Nov 29 00:22:18 UTC 2025","","","",""
"","1479","should select radio buttons","Automation Practice Test Suite","Sat Nov 29 00:22:18 UTC 2025","passed","Sat Nov 29 00:22:19 UTC 2025","","","",""
"","1435","should handle Mouse hover","Automation Practice Test Suite","Sat Nov 29 00:22:35 UTC 2025","passed","Sat Nov 29 00:22:37 UTC 2025","","","",""
"","11335","User selects and purchases specific products","Ecommerce Product Selection Validation","Sat Nov 29 00:23:37 UTC 2025","passed","Sat Nov 29 00:23:48 UTC 2025","","","",""
"","1517","@smoke should handle iFrames","Automation Practice Test Suite","Sat Nov 29 00:22:48 UTC 2025","passed","Sat Nov 29 00:22:50 UTC 2025","","","",""
"","691","My Second Test Case","My First Test Suite","Sat Nov 29 00:22:00 UTC 2025","passed","Sat Nov 29 00:22:01 UTC 2025","","","",""
"","4327","@smoke My First Test Case","My First Test Suite","Sat Nov 29 00:21:56 UTC 2025","passed","Sat Nov 29 00:22:00 UTC 2025","","","",""
"","1802","@smoke My Sixth Test Case","My First Test Suite","Sat Nov 29 00:22:03 UTC 2025","passed","Sat Nov 29 00:22:04 UTC 2025","","","",""
"","4304","Verify cart total calculation","End to End Ecommerce Application Validation","Sat Nov 29 00:23:27 UTC 2025","passed","Sat Nov 29 00:23:31 UTC 2025","","","",""
"","698","My Fourth Test Case","My First Test Suite","Sat Nov 29 00:22:02 UTC 2025","passed","Sat Nov 29 00:22:02 UTC 2025","","","",""
